url;nama;ratings;reviewers;kategori;alamat;jam-tutup
https://www.google.com/maps/place/Grand+Garden+Resto+%26+Cafe/data=!4m7!3m6!1s0x2e69c5c61cb3f6f7:0xa2dec90d60f85454!8m2!3d-6.5988269!4d106.8038434!16s%2Fg%2F11g_xmssq!19sChIJ9_azHMbFaS4RVFT4YA3J3qI?authuser=0&hl=id&rclk=1;Grand Garden Resto & Cafe;4,4;(5.670);Indonesia;Kebun Raya Bogor, Jl. Ir. H. Juanda No.13, RT.04/RW.02;⋅ Tutup pukul 20.00
https://www.google.com/maps/place/Kedai+Kita/data=!4m7!3m6!1s0x2e69c5cc57d59837:0x1701aafca849fbec!8m2!3d-6.5901408!4d106.8028583!16s%2Fg%2F11b6tfqkx_!19sChIJN5jVV8zFaS4R7PtJqPyqARc?authuser=0&hl=id&rclk=1;Kedai Kita;4,5;(12.222);Sesuai untuk keluarga;Jl. Pangrango No.21;⋅ Tutup pukul 22.00
https://www.google.com/maps/place/Leuit+Ageung/data=!4m7!3m6!1s0x2e69c47d325fcfb3:0x5482c42bf5bea394!8m2!3d-6.5569052!4d106.7726955!16s%2Fg%2F11bv2pbdc0!19sChIJs89fMn3EaS4RlKO-9SvEglQ?authuser=0&hl=id&rclk=1;Leuit Ageung;4,4;(3.155);Sunda;Jl. KH. R. Abdullah Bin Nuh No.36, RT.02/RW.03;⋅ Tutup pukul 21.30
https://www.google.com/maps/place/Bogor+Permai+Bakery+%26+Restaurant/data=!4m7!3m6!1s0x2e69c5cae76173a5:0x8950bb4236052936!8m2!3d-6.5884063!4d106.7967355!16s%2Fg%2F1tj5b22m!19sChIJpXNh58rFaS4RNikFNkK7UIk?authuser=0&hl=id&rclk=1;Bogor Permai Bakery & Restaurant;4,5;(6.423);Restoran;Jl. Jend. Sudirman No.23A;⋅ Tutup pukul 20.00
https://www.google.com/maps/place/Rumah+Makan+Bunut+Semeru/data=!4m7!3m6!1s0x2e69c451630dc049:0xfa4efe5ad19dcfea!8m2!3d-6.582374!4d106.77893!16s%2Fg%2F11bvv_3mnn!19sChIJScANY1HEaS4R6s-d0Vr-Tvo?authuser=0&hl=id&rclk=1;Rumah Makan Bunut Semeru;4,4;(1.534);Sunda;Jl. DR. Sumeru No.84, RT.01/RW.01;⋅ Tutup pukul 20.00
https://www.google.com/maps/place/Gili-Gili+Restaurant+-+Bogor/data=!4m7!3m6!1s0x2e69c5e14a04689b:0x5eb6805173ee4dc0!8m2!3d-6.6113186!4d106.8127676!16s%2Fg%2F1tf1kyn1!19sChIJm2gESuHFaS4RwE3uc1GAtl4?authuser=0&hl=id&rclk=1;Gili-Gili Restaurant - Bogor;4,4;(3.661);Sunda;Jl. Raya Pajajaran No.69, RT.01/RW.11;⋅ Tutup pukul 21.00
https://www.google.com/maps/place/RM.+Bumi+Aki+Bogor/data=!4m7!3m6!1s0x2e69c4327f76fdd7:0x64e104abdaf4adee!8m2!3d-6.5839757!4d106.8058053!16s%2Fg%2F11b73xy89b!19sChIJ1_12fzLEaS4R7q302qsE4WQ?authuser=0&hl=id&rclk=1;RM. Bumi Aki Bogor;4,7;(16.930);Sunda;Jl. Raya Pajajaran No.51, RT.04/RW.13;⋅ Tutup pukul 22.00
https://www.google.com/maps/place/SAUNG+PAK+EWOK/data=!4m7!3m6!1s0x2e69c4332a60d2e3:0x677b65157360c51d!8m2!3d-6.5990816!4d106.8069985!16s%2Fg%2F11gzp0xjj!19sChIJ49JgKjPEaS4RHcVgcxVle2c?authuser=0&hl=id&rclk=1;SAUNG PAK EWOK;4,5;(5.434);Restoran;Jl. Prof. DR. H. Andi Hakim Nasoetion, RT.02/RW.05;⋅ Tutup pukul 21.00
https://www.google.com/maps/place/Rumah+Makan+Pondok+Aren+khas+sunda/data=!4m7!3m6!1s0x2e69c4ec0fc6c68f:0x9241d442bd4eb426!8m2!3d-6.5722456!4d106.7538274!16s%2Fg%2F11dym3q4n7!19sChIJj8bGD-zEaS4RJrROvULUQZI?authuser=0&hl=id&rclk=1;Rumah Makan Pondok Aren khas sunda;4,6;(345);Sunda;Jl. KH. R. Abdullah Bin Nuh No.A 7, RT.03/RW.01;⋅ Tutup pukul 21.00
https://www.google.com/maps/place/The+Gazebo+Cafe/data=!4m7!3m6!1s0x2e69c7d234d865c3:0xa4316b70a54208c9!8m2!3d-6.5976696!4d106.8291473!16s%2Fg%2F11fml1y8k6!19sChIJw2XYNNLHaS4RyQhCpXBrMaQ?authuser=0&hl=id&rclk=1;The Gazebo Cafe;4,4;(536);Restoran;Jl. Danau Bogor Raya No.9 Blok A1, RT.02/RW.13;⋅ Tutup pukul 21.00
https://www.google.com/maps/place/Pusat+Kuliner+Taman+Kencana/data=!4m7!3m6!1s0x2e69c5cb55bdd2e9:0xfbdd561572decb81!8m2!3d-6.5872905!4d106.8000363!16s%2Fg%2F11df7pg_f5!19sChIJ6dK9VcvFaS4RgcvechVW3fs?authuser=0&hl=id&rclk=1;Pusat Kuliner Taman Kencana;4,6;(228);Restoran;Jl. Ciremei Ujung No.kelurahan, RT.02/RW.02;
https://www.google.com/maps/place/Sewa+Ruang+Tempat+Meeting+Rapat+Pusat+Kota+Bogor+%7C+Restoran+Taman+Koleksi+IPB/data=!4m7!3m6!1s0x2e69c5e781f6a5c3:0x3bac3e6db5f5eb4f!8m2!3d-6.6013168!4d106.8055824!16s%2Fg%2F1ptywqq9b!19sChIJw6X2gefFaS4RT-v1tW0-rDs?authuser=0&hl=id&rclk=1;Sewa Ruang Tempat Meeting Rapat Pusat Kota Bogor | Restoran Taman Koleksi IPB;4,4;(1.037);Restoran;Kampus IPB, Jl. Raya Pajajaran No.1, RT.02/RW.05;⋅ Tutup pukul 21.00
https://www.google.com/maps/place/Macaroni+Panggang/data=!4m7!3m6!1s0x2e69c5cce4b0d74d:0x57a7475005c8be6c!8m2!3d-6.5889224!4d106.8026474!16s%2Fg%2F11b6rw2zfv!19sChIJTdew5MzFaS4RbL7IBVBHp1c?authuser=0&hl=id&rclk=1;Macaroni Panggang;4,5;(8.474);Restoran;Jl. Salak Jl. Sangga Buana No.24, RT.03/RW.04;⋅ Tutup pukul 22.00
