url;nama;ratings;reviewers;kategori;alamat;jam-opearsional
https://www.google.com/maps/place/Kedai+Kopi+Nu+Sae+Dramaga/data=!4m7!3m6!1s0x2e69c53b0552155d:0xf58c50632aaf571a!8m2!3d-6.5717337!4d106.7401676!16s%2Fg%2F11fr2nw0f2!19sChIJXRVSBTvFaS4RGlevKmNQjPU?authuser=0&hl=id&rclk=1;Kedai Kopi Nu Sae Dramaga;4,8;(28);Kedai Kopi;CPHR+833, Jl. Raya Dramaga, RT.01/RW.06;⋅ Buka pukul 09.00
https://www.google.com/maps/place/Mahataman+Coffee/data=!4m7!3m6!1s0x2e69c4ae7b198585:0x2bbc5b0dcc886d19!8m2!3d-6.5563685!4d106.7304073!16s%2Fg%2F11bz0wz4vx!19sChIJhYUZe67EaS4RGW2IzA1bvCs?authuser=0&hl=id&rclk=1;Mahataman Coffee;4,6;(202);Kedai Kopi;Jl. Ulin;⋅ Buka pukul 08.00
https://www.google.com/maps/place/Botani+Kopi+Nusantara/data=!4m7!3m6!1s0x2e69c5d6f34ebc25:0x277d37385498bb6a!8m2!3d-6.5597107!4d106.7250427!16s%2Fg%2F11h3ngz207!19sChIJJbxO89bFaS4RaruYVDg3fSc?authuser=0&hl=id&rclk=1;Botani Kopi Nusantara;4,6;(103);Kafe;CPRG+427, Gedung Andi Hakim Nasution, Jalan Institut Pertanian Bogor;⋅ Buka pukul 08.00
https://www.google.com/maps/place/ZAMA+HOUSE/data=!4m7!3m6!1s0x2e69c58819b72751:0x40d702ce03110124!8m2!3d-6.571015!4d106.7398067!16s%2Fg%2F11ly3xtz8b!19sChIJUSe3GYjFaS4RJAERA84C10A?authuser=0&hl=id&rclk=1;ZAMA HOUSE;4,8;(335);Kafe;Jl. Raya Dramaga - Bogor No.Km 7.3, RT.02/RW.06;⋅ Buka pukul 10.00
https://www.google.com/maps/place/Warkomie+Baba+-+Dramaga/data=!4m7!3m6!1s0x2e69c58e439cf27f:0x1537cf6f63933668!8m2!3d-6.563392!4d106.733522!16s%2Fg%2F11mvfzk078!19sChIJf_KcQ47FaS4RaDaTY2_PNxU?authuser=0&hl=id&rclk=1;Warkomie Baba - Dramaga;4,7;(15);Kafe;Jl. Sindang Barang/Raya Dramaga Blok Bara 1 No.30, RT.3/RW.1;
https://www.google.com/maps/place/Kopi+Warung+Pemula/data=!4m7!3m6!1s0x2e69c56d5369d987:0x94a4dfbb9e34f9c9!8m2!3d-6.5654753!4d106.7352106!16s%2Fg%2F11h1z4412w!19sChIJh9lpU23FaS4Ryfk0nrvfpJQ?authuser=0&hl=id&rclk=1;Kopi Warung Pemula;4,7;(46);Kafe;Seberang Hotel Duta Berlian, Jl. Raya Dramaga - Bogor;⋅ Buka pukul 14.00
https://www.google.com/maps/place/Starbucks+Dramaga/data=!4m7!3m6!1s0x2e69c5782b91a8d9:0xfd6f908ba5eb46b8!8m2!3d-6.5717262!4d106.7397298!16s%2Fg%2F11q7ft4yrm!19sChIJ2aiRK3jFaS4RuEbrpYuQb_0?authuser=0&hl=id&rclk=1;Starbucks Dramaga;4,7;(399);Kedai Kopi;RT.01/RW.06;⋅ Buka pukul 09.00
https://www.google.com/maps/place/Botani+Kopi+Nusantara/data=!4m7!3m6!1s0x2e69c5d6f34ebc25:0x277d37385498bb6a!8m2!3d-6.5597107!4d106.7250427!16s%2Fg%2F11h3ngz207!19sChIJJbxO89bFaS4RaruYVDg3fSc?authuser=0&hl=id&rclk=1;Botani Kopi Nusantara;4,6;(103);Kafe;CPRG+427, Gedung Andi Hakim Nasution, Jalan Institut Pertanian Bogor;⋅ Buka pukul 08.00
https://www.google.com/maps/place/ZAMA+HOUSE/data=!4m7!3m6!1s0x2e69c58819b72751:0x40d702ce03110124!8m2!3d-6.571015!4d106.7398067!16s%2Fg%2F11ly3xtz8b!19sChIJUSe3GYjFaS4RJAERA84C10A?authuser=0&hl=id&rclk=1;ZAMA HOUSE;4,8;(335);Kafe;Jl. Raya Dramaga - Bogor No.Km 7.3, RT.02/RW.06;⋅ Buka pukul 10.00
https://www.google.com/maps/place/Warkomie+Baba+-+Dramaga/data=!4m7!3m6!1s0x2e69c58e439cf27f:0x1537cf6f63933668!8m2!3d-6.563392!4d106.733522!16s%2Fg%2F11mvfzk078!19sChIJf_KcQ47FaS4RaDaTY2_PNxU?authuser=0&hl=id&rclk=1;Warkomie Baba - Dramaga;4,7;(15);Kafe;Jl. Sindang Barang/Raya Dramaga Blok Bara 1 No.30, RT.3/RW.1;
https://www.google.com/maps/place/Kopi+Warung+Pemula/data=!4m7!3m6!1s0x2e69c56d5369d987:0x94a4dfbb9e34f9c9!8m2!3d-6.5654753!4d106.7352106!16s%2Fg%2F11h1z4412w!19sChIJh9lpU23FaS4Ryfk0nrvfpJQ?authuser=0&hl=id&rclk=1;Kopi Warung Pemula;4,7;(46);Kafe;Seberang Hotel Duta Berlian, Jl. Raya Dramaga - Bogor;⋅ Buka pukul 14.00
https://www.google.com/maps/place/Starbucks+Dramaga/data=!4m7!3m6!1s0x2e69c5782b91a8d9:0xfd6f908ba5eb46b8!8m2!3d-6.5717262!4d106.7397298!16s%2Fg%2F11q7ft4yrm!19sChIJ2aiRK3jFaS4RuEbrpYuQb_0?authuser=0&hl=id&rclk=1;Starbucks Dramaga;4,7;(399);Kedai Kopi;RT.01/RW.06;⋅ Buka pukul 09.00
https://www.google.com/maps/place/Warmindo+Balola/data=!4m7!3m6!1s0x2e69c50627679379:0x3564971373a63c0d!8m2!3d-6.5587618!4d106.7333227!16s%2Fg%2F11h59t644l!19sChIJeZNnJwbFaS4RDTymcxOXZDU?authuser=0&hl=id&rclk=1;Warmindo Balola;4,6;(25);Kafe;Jl. Babakan Tengah No.83, RT.002/RW.008;⋅ Buka pukul 23.00
https://www.google.com/maps/place/Chick+N+Tea+Resto+Pusat/data=!4m7!3m6!1s0x2e69c4b11f3b8527:0xff45de82618be535!8m2!3d-6.5625419!4d106.7322951!16s%2Fg%2F11c1xq73y8!19sChIJJ4U7H7HEaS4RNeWLYYLeRf8?authuser=0&hl=id&rclk=1;Chick N Tea Resto Pusat;4,5;(1.070);Makanan Siap Saji;Jl. Raya Dramaga - Bogor No.KM. 7;
https://www.google.com/maps/place/WarKop+mak+DIAH/data=!4m7!3m6!1s0x2e69c5bd08027561:0x7941ce490faa442f!8m2!3d-6.560438!4d106.7338059!16s%2Fg%2F11kq687mj7!19sChIJYXUCCL3FaS4RL0SqD0nOQXk?authuser=0&hl=id&rclk=1;WarKop mak DIAH;5,0;(4);Kedai Kopi;CPQM+RGF;
https://www.google.com/maps/place/Ropang+Selow/data=!4m7!3m6!1s0x2e69c5e5fb7acf99:0x99cbb1ae4cececcc!8m2!3d-6.5586329!4d106.7373571!16s%2Fg%2F11sjt8gcnx!19sChIJmc96--XFaS4RzOzsTK6xy5k?authuser=0&hl=id&rclk=1;Ropang Selow;5,0;(15);Roti bakar;Sebelah Wisma Faris, KP Jl. Babakan Lb. No.0, RT.03/RW.05;⋅ Buka pukul 17.00
https://www.google.com/maps/place/Warkop+Bateng/data=!4m7!3m6!1s0x2e69c4b1d452ceff:0x174879b601660c36!8m2!3d-6.5588236!4d106.7320988!16s%2Fg%2F11cs3h9vqh!19sChIJ_85S1LHEaS4RNgxmAbZ5SBc?authuser=0&hl=id&rclk=1;Warkop Bateng;4,7;(160);Kafe;Jl. Babakan Tengah No.13;⋅ Buka pukul 06.00
https://www.google.com/maps/place/Warkop+Hs+Central/data=!4m7!3m6!1s0x2e69c5ac448166c1:0xaaa05d9c2819d57f!8m2!3d-6.5598226!4d106.7336732!16s%2Fg%2F11p67390sv!19sChIJwWaBRKzFaS4Rf9UZKJxdoKo?authuser=0&hl=id&rclk=1;Warkop Hs Central;4,6;(131);Kedai Kopi;Jalan Baru Jl. Babakan Tengah No.56, RT.01/RW.09;
https://www.google.com/maps/place/Kedai+Apresiasi+Alamanda/data=!4m7!3m6!1s0x2e69c5c0eb72834f:0x5cc703e6f2ed0ea5!8m2!3d-6.5649138!4d106.7346256!16s%2Fg%2F11kc0wdkm6!19sChIJT4Ny68DFaS4RpQ7t8uYDx1w?authuser=0&hl=id&rclk=1;Kedai Apresiasi Alamanda;4,4;(19);Kafe;CPPM+2VJ;⋅ Buka pukul 11.00
https://www.google.com/maps/place/Angkringan+Pancuran/data=!4m7!3m6!1s0x2e69c556e0c32b2f:0x6d21582acd2b9217!8m2!3d-6.5720569!4d106.7363859!16s%2Fg%2F11nnp1nb6l!19sChIJLyvD4FbFaS4RF5IrzSpYIW0?authuser=0&hl=id&rclk=1;Angkringan Pancuran;4,6;(71);Kedai Kopi;Lingkar Utara Jl. Dramaga Cantik No.RT 02;⋅ Buka pukul 13.00
https://www.google.com/maps/place/Botani+bakery+2/data=!4m7!3m6!1s0x2e69c552cc8e1127:0x96c44654e4b77369!8m2!3d-6.562893!4d106.732716!16s%2Fg%2F11s0x0br3j!19sChIJJxGOzFLFaS4RaXO35FRGxJY?authuser=0&hl=id&rclk=1;Botani bakery 2;4,9;(16);Kedai Kopi;Jl. Babakan - Dramaga No.40, RT.4/RW.1;
https://www.google.com/maps/place/Warkop+Bateng+2/data=!4m7!3m6!1s0x2e69c4baa82c9ebb:0x31189592cf9b2576!8m2!3d-6.5588092!4d106.7353206!16s%2Fg%2F11c6wl0yfc!19sChIJu54sqLrEaS4RdiWbz5KVGDE?authuser=0&hl=id&rclk=1;Warkop Bateng 2;4,6;(57);Kafe;Jl. Babakan Lio No.1, RT.01/rw07/RW.07;⋅ Buka pukul 07.00
https://www.google.com/maps/place/Warkop+Tampomas/data=!4m7!3m6!1s0x2e69c4b1ae556999:0x97adb4c8ee84911!8m2!3d-6.5624094!4d106.7321466!16s%2Fg%2F11b7rttrjn!19sChIJmWlVrrHEaS4REUnojkzbegk?authuser=0&hl=id&rclk=1;Warkop Tampomas;4,6;(347);Restoran;CPQJ+2VJ, Jl. Babakan Raya;
